candidates,party_short,color,list
950,SP,#FF0000,SP
957,Übrige,#888888,Übrige
969,PdA,#888888,Übrige
981,GLP,#32CD32,GLP
983,SVP,#4F7942,SVP
990,GLP,#32CD32,GLP
991,GLP,#32CD32,GLP
1007,Übrige,#888888,Übrige
1012,FDP,#0000FF,FDP
1018,JG,#008000,Grüne
1020,EDU,#00008B,EDU
1021,JM,#C56C46,Mitte
1026,Grüne,#008000,Grüne
1048,SVP,#4F7942,SVP
1067,Grüne,#008000,Grüne
1071,SVP,#4F7942,SVP
1072,JSVP,#4F7942,SVP
1077,GLP,#32CD32,GLP
1094,JM,#C56C46,Mitte
1098,Parteilos,#888888,Übrige
1103,SP,#FF0000,SP
1113,Übrige,#888888,Übrige
1117,Übrige,#888888,Übrige
1138,Grüne,#008000,Grüne
